m,Initialization,Scaling,TaylorEx,BasisComputation,Bitreverse,Span,Aggregate
4,0.003460930736050404,0.07832705463737076,0.009525852489161095,0.8593148241725557,0.004063552861017647,0.01179259626197366,0.03351518884187085
5,0.003777383527002684,0.12989953281416677,0.014312398029671889,0.7815658877031545,0.004959067663233641,0.011151893678871127,0.05433383658389937
6,0.0027141438394981897,0.20423412064130297,0.02510540862771481,0.6611766896389175,0.006761733890712537,0.013540062028733924,0.08646784133311995
7,0.00231757979923873,0.29738117161384114,0.04279355918822905,0.5071342831486565,0.01079955399464308,0.01030219401233026,0.12927165824306114
8,0.002537697025506466,0.3933196033252868,0.06664329644020439,0.34449719459179823,0.014271752568599355,0.009279527747020788,0.16945092830158406
9,0.0019398878370517987,0.46627179700158106,0.08962424402303626,0.21224452449576287,0.017619766536132717,0.007819560129690267,0.20448021997674515
10,0.0020291284532093497,0.5140226071765756,0.10906524065741464,0.12003873941120705,0.018468345448701375,0.006667802568608664,0.22970813628428347
11,0.001973195582834992,0.5338783434636779,0.12801689622236523,0.06368702245576041,0.018533256073786628,0.00773012103198621,0.24618116516958852
12,0.002360234776189171,0.5412801295576869,0.1453906138592648,0.03293507660533686,0.018383152388048277,0.007389006086583482,0.2522617867268903
13,0.004777725088343926,0.5455442704158934,0.15156897581133486,0.016803712386764674,0.018173403500616057,0.0061656993408640845,0.2569662134561829
14,0.004119374834605579,0.541585845547592,0.1647530018823034,0.008511923594981268,0.01803774001116379,0.005279905862838552,0.25771220826651536
15,0.0034879817502460934,0.5356653454052331,0.17597325099586328,0.004258358083628454,0.01946206303375435,0.004550584717485908,0.25660241601378875
16,0.002115735584456691,0.5264093599442236,0.1885133250844434,0.0021264906082075004,0.022029944740383296,0.004092667380800244,0.25471247665748536
17,0.0019376389999261154,0.5178999099710825,0.20152979168736526,0.0010622745795218495,0.022176401150227003,0.003669543926800381,0.2517244396850769
18,0.0017131344789282573,0.508068609657673,0.21565361644004033,0.0005246902351543181,0.02186211512294311,0.0032413819081946976,0.24893645215706636
19,0.0031618588036568915,0.502816651636068,0.22176191712956198,0.00026469455413016623,0.02220495781699839,0.003647956471898459,0.24614196358768609
20,0.006868500708187966,0.46951956846716764,0.2591872788851192,0.0001444010759124966,0.027390113717073592,0.003620978857879988,0.23326915828865893
21,0.005340126972719184,0.36834057847067747,0.34895351587569284,6.0300392099587535e-05,0.0771774075019807,0.0044461569237518785,0.19568191386307843
22,0.004738764758770801,0.3413221317452203,0.38733698796953087,2.847822280973569e-05,0.08034734262823573,0.004520091985083085,0.18170620269034932
23,0.004114421494873553,0.3294538374466156,0.40955075925356577,1.3973055585161353e-05,0.07643764307609807,0.004366412538464386,0.17606295313479742
24,0.003827235173774303,0.32142661714166443,0.42620727862127594,6.907130967766718e-06,0.07229097869397762,0.004278179763659273,0.17196280347468063
25,0.0036488033458458944,0.314607472655032,0.44018582460886047,3.399295927446835e-06,0.0688032397086879,0.004096884932153624,0.16865437545349266
26,0.0034627237704163384,0.3100923659431549,0.44970626763912885,1.6977188450087125e-06,0.06637364489969073,0.0039064981722815965,0.16645680185648234
